from_node,to_node,edge_key,distance_km,traffic_weight,travel_time_min,highway_type,maxspeed
305144596,305144569,0,0.193,1.54,0.38,residential,unknown
305144596,305144566,0,0.055,1.39,0.1,residential,unknown
305144597,303933201,0,0.128,1.02,0.23,residential,unknown
305144597,305134881,0,0.005,1.05,0.01,residential,unknown
305144597,305144596,0,0.05,1.03,0.09,residential,unknown
305145664,3143852516,0,0.095,2.18,0.2,residential,unknown
305145664,4032342291,0,0.048,1.0,0.09,residential,unknown
305145664,3452278570,0,0.062,2.68,0.14,residential,unknown
305145987,4032342291,0,0.012,1.29,0.02,residential,unknown
305145987,1770490845,0,0.079,2.27,0.17,residential,unknown
305145987,4032342299,0,0.064,2.01,0.14,residential,unknown
306580353,4803681196,0,0.041,1.84,0.08,residential,unknown
306580353,7265565075,0,0.05,4.01,0.13,tertiary,unknown
306580353,260739404,0,0.109,2.91,0.26,tertiary,unknown
306580382,4803681199,0,0.044,1.98,0.09,residential,unknown
306580382,306580569,0,0.052,1.34,0.1,residential,unknown
306580382,4803681198,0,0.185,1.62,0.37,residential,unknown
306580384,4803681197,0,0.052,1.82,0.11,residential,unknown
306580384,260739404,0,0.033,2.09,0.07,tertiary,unknown
306580384,263226812,0,0.241,2.8,0.56,tertiary,unknown
306580569,438068380,0,0.112,2.75,0.26,tertiary,unknown
306580569,306580382,0,0.052,1.08,0.09,residential,unknown
306580569,7265495337,0,0.178,1.91,0.37,tertiary,unknown
306582104,305091873,0,0.028,3.25,0.07,tertiary,unknown
306582104,306582445,0,0.067,1.92,0.14,residential,unknown
306582104,260739401,0,0.263,3.35,0.66,tertiary,unknown
306582120,306582347,0,0.064,1.57,0.13,residential,unknown
306582120,301347812,0,0.017,2.3,0.04,tertiary,unknown
306582120,301348393,0,0.069,2.25,0.15,tertiary,unknown
306582347,6096432317,0,0.038,2.74,0.09,residential,unknown
306582347,306582120,0,0.064,1.03,0.12,residential,unknown
306582347,306582445,0,0.129,1.42,0.25,residential,unknown
306582377,260739401,0,0.063,1.41,0.12,residential,unknown
306582377,11017416949,0,0.029,2.1,0.06,residential,unknown
306582377,11017416950,0,0.052,1.46,0.1,residential,unknown
306582445,306582347,0,0.129,2.51,0.29,residential,unknown
